Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC1,WTCHG_98544,1,1,BC1,Lib 1_1,4,C,4,,Testis 4C,C4,4C4,WTCHG_98544_01
FC1,WTCHG_98544,1,2,BC2,Lib 1_2,4,C,5,,Testis 4C,C5,4C5,WTCHG_98544_02
FC1,WTCHG_98544,1,3,BC3,Lib 1_3,4,C,7,,Testis 4C,C7,4C7,WTCHG_98544_03
FC1,WTCHG_98544,1,4,BC4,Lib 1_4,4,C,9,,Testis 4C,C9,4C9,WTCHG_98544_04
FC1,WTCHG_98544,1,5,BC5,Lib 1_5,4,C,10,,Testis 4C,C10,4C10,WTCHG_98544_05
FC1,WTCHG_98544,1,6,BC6,Lib 1_6,4,C,12,,Testis 4C,C12,4C12,WTCHG_98544_06
FC1,WTCHG_98544,1,7,BC7,Lib 1_7,4,C,13,,Testis 4C,C13,4C13,WTCHG_98544_07
FC1,WTCHG_98544,1,8,BC8,Lib 1_8,4,C,14,,Testis 4C,C14,4C14,WTCHG_98544_08
FC1,WTCHG_98544,1,9,BC9,Lib 1_9,4,C,15,,Testis 4C,C15,4C15,WTCHG_98544_09
FC1,WTCHG_98544,1,10,BC10,Lib 1_10,4,C,16,,Testis 4C,C16,4C16,WTCHG_98544_10
FC1,WTCHG_98544,1,11,BC11,Lib 1_11,4,C,17,,Testis 4C,C17,4C17,WTCHG_98544_11
FC1,WTCHG_98544,1,12,BC12,Lib 1_12,4,C,18,,Testis 4C,C18,4C18,WTCHG_98544_12
FC1,WTCHG_98544,1,13,BC13,Lib 1_13,4,C,19,,Testis 4C,C19,4C19,WTCHG_98544_13
FC1,WTCHG_98544,1,14,BC14,Lib 1_14,4,C,20,,Testis 4C,C20,4C20,WTCHG_98544_14
FC1,WTCHG_98544,1,15,BC15,Lib 1_15,4,C,21,,Testis 4C,C21,4C21,WTCHG_98544_15
FC1,WTCHG_98544,1,16,BC16,Lib 1_16,4,C,22,,Testis 4C,C22,4C22,WTCHG_98544_16
FC1,WTCHG_98544,1,17,BC17,Lib 1_17,4,C,23,,Testis 4C,C23,4C23,WTCHG_98544_17
FC1,WTCHG_98544,1,18,BC18,Lib 1_18,4,C,24,,Testis 4C,C24,4C24,WTCHG_98544_18
FC1,WTCHG_98545,2,1,BC1,Lib 2_1,4,C,25,,Testis 4C,C25,4C25,WTCHG_98545_01
FC1,WTCHG_98545,2,2,BC2,Lib 2_2,4,C,26,,Testis 4C,C26,4C26,WTCHG_98545_02
FC1,WTCHG_98545,2,3,BC3,Lib 2_3,4,C,27,,Testis 4C,C27,4C27,WTCHG_98545_03
FC1,WTCHG_98545,2,4,BC4,Lib 2_4,4,C,28,,Testis 4C,C28,4C28,WTCHG_98545_04
FC1,WTCHG_98545,2,5,BC5,Lib 2_5,4,D,1,,Testis 4D,D1,4D1,WTCHG_98545_05
FC1,WTCHG_98545,2,6,BC6,Lib 2_6,4,D,2,,Testis 4D,D2,4D2,WTCHG_98545_06
FC1,WTCHG_98545,2,7,BC7,Lib 2_7,4,D,4,,Testis 4D,D4,4D4,WTCHG_98545_07
FC1,WTCHG_98545,2,8,BC8,Lib 2_8,4,D,5,,Testis 4D,D5,4D5,WTCHG_98545_08
FC1,WTCHG_98545,2,9,BC9,Lib 2_9,4,D,7,,Testis 4D,D7,4D7,WTCHG_98545_09
FC1,WTCHG_98545,2,10,BC10,Lib 2_10,4,D,8,,Testis 4D,D8,4D8,WTCHG_98545_10
FC1,WTCHG_98545,2,11,BC11,Lib 2_11,4,D,9,,Testis 4D,D9,4D9,WTCHG_98545_11
FC1,WTCHG_98545,2,12,BC12,Lib 2_12,4,D,10,,Testis 4D,D10,4D10,WTCHG_98545_12
FC1,WTCHG_98545,2,13,BC13,Lib 2_13,4,D,11,,Testis 4D,D11,4D11,WTCHG_98545_13
